timestamp,task,llm,strategy,repetition,model_used,input_tokens,output_tokens,latency_s,attempt,error,sql_extracted,sql_length,output_file
2026-03-05T11:58:20.624966+00:00,t1,gpt4o,zero_shot,1,gpt-4o,0,0,0,3,"Using SOCKS proxy, but the 'socksio' package is not installed. Make sure to install httpx using `pip install httpx[socks]`.",False,0,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r1.sql
2026-03-05T11:58:26.942070+00:00,t1,claude,zero_shot,1,claude-sonnet-4-20250514,0,0,0,3,"Using SOCKS proxy, but the 'socksio' package is not installed. Make sure to install httpx using `pip install httpx[socks]`.",False,0,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r1.sql
2026-03-05T11:58:33.233082+00:00,t1,llama3,zero_shot,1,llama-3.3-70b-versatile,0,0,0,3,"Using SOCKS proxy, but the 'socksio' package is not installed. Make sure to install httpx using `pip install httpx[socks]`.",False,0,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r1.sql
2026-03-05T11:58:53.533769+00:00,t1,gpt4o,zero_shot,1,gpt-4o,0,0,0,3,Connection error.,False,0,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r1.sql
2026-03-05T11:59:03.716286+00:00,t1,claude,zero_shot,1,claude-sonnet-4-20250514,0,0,0,3,Connection error.,False,0,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/claude/zero_shot_r1.sql
2026-03-05T11:59:13.703465+00:00,t1,llama3,zero_shot,1,llama-3.3-70b-versatile,0,0,0,3,Connection error.,False,0,/sessions/sharp-zealous-bardeen/mnt/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r1.sql
2026-03-05T12:21:30.738896+00:00,t1,gpt4o,zero_shot,1,gpt-4o-2024-08-06,352,359,4.53,1,,True,1502,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r1.sql
2026-03-05T12:21:36.900265+00:00,t1,gpt4o,zero_shot,2,gpt-4o-2024-08-06,352,362,6.15,1,,True,1505,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r2.sql
2026-03-05T12:21:40.564644+00:00,t1,gpt4o,zero_shot,3,gpt-4o-2024-08-06,352,359,3.66,1,,True,1502,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/gpt4o/zero_shot_r3.sql
2026-03-05T12:21:48.168802+00:00,t1,claude,zero_shot,1,claude-sonnet-4-20250514,401,635,7.46,1,,True,2040,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/claude/zero_shot_r1.sql
2026-03-05T12:21:55.629554+00:00,t1,claude,zero_shot,2,claude-sonnet-4-20250514,401,635,7.45,1,,True,2040,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/claude/zero_shot_r2.sql
2026-03-05T12:22:04.108891+00:00,t1,claude,zero_shot,3,claude-sonnet-4-20250514,401,635,8.47,1,,True,2040,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/claude/zero_shot_r3.sql
2026-03-05T12:22:04.983680+00:00,t1,llama3,zero_shot,1,llama-3.3-70b-versatile,378,323,0.86,1,,True,1375,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r1.sql
2026-03-05T12:22:05.883954+00:00,t1,llama3,zero_shot,2,llama-3.3-70b-versatile,378,331,0.89,1,,True,1392,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r2.sql
2026-03-05T12:22:06.806050+00:00,t1,llama3,zero_shot,3,llama-3.3-70b-versatile,378,323,0.91,1,,True,1375,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/llama3/zero_shot_r3.sql
2026-03-05T12:22:11.927602+00:00,t1,gpt4o,schema_aware,1,gpt-4o-2024-08-06,1079,356,5.11,1,,True,1457,/Users/name.lastname/Nextcloud/Research/ELG with AI/experiment/outputs/t1/gpt4o/schema_aware_r1.sql
